"Accession","Coefficient","P_Value","R_Squared","Q_Value"
"1433B_HUMAN",1.49468858733075,0.662952157882736,0.00620787007347131,0.930030254354017
"1433E_HUMAN",-1.02119660703525,0.690019499384559,0.00520091226632486,0.941945405848748
"1433F_HUMAN",2.88614237077545,0.205693571077605,0.0511425809004294,0.62512870545069
"1433G_HUMAN",0.0390350225691147,0.985023105630566,1.15519087365471e-05,0.994669212029067
"1433T_HUMAN",0.844257581755809,0.740718335793357,0.00358310786145806,0.950013840534207
"1433Z_HUMAN",5.1351003953377,0.383657061394198,0.0245725044185126,0.802591974940444
"2A5D_HUMAN",-0.11667045249431,0.950491924366052,0.000126370069945039,0.987840602967421
"2AAA_HUMAN",-1.18639623014825,0.680140204699639,0.00555643785403242,0.938600983533505
"2AAB_HUMAN",-0.709825819536619,0.481454562895986,0.0161143005515225,0.860242976524384
"5NT1B_HUMAN",-1.69866601340455,0.113278552627133,0.0789170310734139,0.481461542797459
"5NT3A_HUMAN",-1.24331396634726,0.302281889918334,0.0342808138056495,0.720842405171714
"6PGD_HUMAN",-0.906916893598014,0.741998297972578,0.00354658072369993,0.950013840534207
"6PGL_HUMAN",-2.36779825835391,0.513456424952291,0.0139008797751983,0.881910653037783
"A16A1_HUMAN",-1.99137118466859,0.290101584021731,0.0360218723300994,0.711655409754158
"A1AG1_HUMAN",-0.78881573159236,0.435248077670845,0.0197589113209438,0.839003251762537
"A1AG2_HUMAN",-0.895463645871365,0.471265669027137,0.0168700160280043,0.849904012781106
"A1AT_HUMAN",-1.25134061716638,0.349763022400472,0.0282543167876708,0.772377853930055
"A1BG_HUMAN",-3.32662509889591,0.0517629902478309,0.116627815932118,0.310440427485617
"A2AP_HUMAN",-3.29943849403851,0.100032157149504,0.0848496322787337,0.448800220073247
"A2GL_HUMAN",-0.000576047900341167,0.999594502722348,8.46715755060863e-09,0.999594502722348
"A2MG_HUMAN",-3.95777519622561,0.0696962996598029,0.102232081015692,0.365154759888725
"A4_HUMAN",0.299140446601651,0.800321121697418,0.00209503471203434,0.952536477723515
"AACT_HUMAN",-0.594446129725985,0.589206933534276,0.00951319942063694,0.913096392045649
"AAMDC_HUMAN",0.359045778324817,0.761360107479336,0.00301897520578219,0.950184139765484
"AASD1_HUMAN",-2.14284042857419,0.184852883727218,0.0560033463251902,0.598324442967538
"AATC_HUMAN",-3.23810104144941,0.326302848062643,0.0310914564433266,0.746759161094904
"AATM_HUMAN",1.96549742736637,0.0621817241599838,0.107748140471078,0.344569660811857
"ABC3A_HUMAN",0.54005875839319,0.580758972091089,0.00994900236370028,0.910860209271726
"ABCA1_HUMAN",0.61648851732372,0.543754966937845,0.0120115072793151,0.892514076853745
"ABCB6_HUMAN",0.427942885686895,0.737985333789584,0.00366179398548135,0.950013840534207
"ABCE1_HUMAN",-2.71483572311941,0.0648388609082837,0.105724007711308,0.354566192019509
"ABCG2_HUMAN",-1.96769261773562,0.206763234119645,0.050908234219896,0.62512870545069
"ABHEB_HUMAN",-0.663828753464599,0.695452082351359,0.00501116522270369,0.941945405848748
"ABHGA_HUMAN",-0.12071678862664,0.926434243208486,0.000279438170950431,0.985729829691364
"ABI1_HUMAN",2.90551406248005,0.0852001429331697,0.0925484960002966,0.410779343422567
"ABRAL_HUMAN",8.79247433874441,0.000259145655768951,0.354166809170861,0.00579037282460087
"ABRX2_HUMAN",-1.70466646661701,0.252964517671553,0.0419348614090225,0.676431945490019
"ACAD8_HUMAN",-1.57721960825447,0.227286213106297,0.0466622289218127,0.648764767630337
"ACADM_HUMAN",0.891048278380692,0.511386283060283,0.014037048660477,0.881876096430928
"ACAP1_HUMAN",0.381853485383501,0.659179296919902,0.00635657154637201,0.930030254354017
"ACBP_HUMAN",1.51082529896754,0.533961080166199,0.0126015342858224,0.889094589862982
"ACES_HUMAN",-0.445736136643677,0.833582986959022,0.00144615231034713,0.959128154430148
"ACLY_HUMAN",-0.631038167211581,0.812953148723477,0.00183374036431057,0.95487990442229
"ACOHC_HUMAN",0.364108455806526,0.800271705303157,0.00209609309425944,0.952536477723515
"ACPH_HUMAN",-1.35066438007812,0.590541223511794,0.00944550881498663,0.913766062322358
"ACSL4_HUMAN",0.122894859165213,0.926068023854156,0.000282234873896153,0.985729829691364
"ACSL6_HUMAN",0.153563441725794,0.93020728872506,0.000251441537001588,0.987721382713681
"ACSM4_HUMAN",-0.589999596919344,0.68689612135453,0.00531184511359309,0.941882287223223
"ACTB_HUMAN;ACTG_HUMAN",15.3875720156115,6.63557709886864e-06,0.485591306431529,0.000293377217264873
"ACTC_HUMAN",3.16091923265521,0.0369435870503632,0.132963939679792,0.260233131832728
"ACTN1_HUMAN",3.72641320598683,0.0148536160171614,0.176730275066777,0.141586303136061
"ACTN4_HUMAN",2.71409312708019,0.0722101177565967,0.100520843978518,0.37311525745948
"ACTY_HUMAN",1.52919445763404,0.28273145812114,0.0371197145584537,0.706998760500275
"ACTZ_HUMAN",-0.535761116109045,0.743300042512425,0.00350964360815593,0.950184139765484
